epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
78,6914.98,0.78245,0.26499,0.00579,0.99359,0.99335,0.99436,0.70653,1.09011,0.2833,0.01353,0.0004754,0.0004754,0.0004754
79,7002.84,0.76956,0.26566,0.00572,0.98919,0.98718,0.9939,0.71983,1.02238,0.27651,0.01244,0.0004556,0.0004556,0.0004556
80,7090.41,0.77908,0.26923,0.00581,0.98731,0.99783,0.99113,0.72219,1.01899,0.27988,0.01241,0.0004358,0.0004358,0.0004358
81,7179.26,0.75908,0.25665,0.00549,0.98424,0.98718,0.98981,0.70787,1.03651,0.27841,0.01266,0.000416,0.000416,0.000416
82,7267.24,0.79196,0.27615,0.00557,0.98356,1,0.99225,0.72789,1.01457,0.28376,0.01226,0.0003962,0.0003962,0.0003962
83,7354.9,0.75694,0.26043,0.00543,0.99359,0.9929,0.9925,0.71652,1.01974,0.27108,0.01235,0.0003764,0.0003764,0.0003764
84,7443.27,0.80936,0.28638,0.00594,0.98412,0.98077,0.99066,0.6918,1.09527,0.30207,0.01343,0.0003566,0.0003566,0.0003566
85,7531.2,0.78725,0.25107,0.0058,0.98726,1,0.99096,0.71719,1.00332,0.27122,0.01214,0.0003368,0.0003368,0.0003368
86,7618.98,0.76401,0.26521,0.00563,0.99319,1,0.99264,0.71768,1.02327,0.27463,0.01236,0.000317,0.000317,0.000317
87,7706.98,0.77765,0.25724,0.00584,0.99353,0.98479,0.99178,0.66429,1.16368,0.31361,0.01449,0.0002972,0.0002972,0.0002972
88,7794.98,0.75531,0.25427,0.00545,0.98709,0.98033,0.99155,0.71661,0.99519,0.27607,0.01208,0.0002774,0.0002774,0.0002774
89,7882.9,0.77327,0.25693,0.00573,0.98627,0.98718,0.99054,0.7017,1.06263,0.28627,0.01285,0.0002576,0.0002576,0.0002576
90,7970.86,0.76894,0.26202,0.00551,0.98725,0.9931,0.99094,0.69928,1.06537,0.28336,0.01302,0.0002378,0.0002378,0.0002378
91,8057.34,0.75786,0.24175,0.00678,0.98577,1,0.98903,0.70886,1.01959,0.26325,0.0124,0.000218,0.000218,0.000218
92,8143.62,0.72654,0.22499,0.00648,0.98725,0.9925,0.98903,0.70333,1.05971,0.28213,0.01287,0.0001982,0.0001982,0.0001982
93,8229.67,0.72015,0.21312,0.00623,0.99303,1,0.99468,0.724,1.02121,0.26703,0.01241,0.0001784,0.0001784,0.0001784
94,8315.93,0.70934,0.20717,0.00625,0.99358,0.99218,0.99494,0.70876,1.06036,0.26852,0.01298,0.0001586,0.0001586,0.0001586
95,8402.27,0.67858,0.20748,0.00606,0.99947,1,0.995,0.71119,1.05549,0.26746,0.01282,0.0001388,0.0001388,0.0001388
96,8488.87,0.68599,0.20305,0.00635,1,0.9993,0.995,0.71795,1.03642,0.26205,0.01257,0.000119,0.000119,0.000119
97,8575.46,0.67912,0.20499,0.00618,0.98733,0.99906,0.99474,0.70604,1.05385,0.27253,0.01284,9.92e-05,9.92e-05,9.92e-05
98,8662.05,0.66637,0.20438,0.00575,0.99358,0.99195,0.99494,0.70776,1.04706,0.27168,0.01268,7.94e-05,7.94e-05,7.94e-05
99,8748.13,0.67402,0.20008,0.00621,0.99357,0.99117,0.99494,0.70945,1.04501,0.27646,0.01263,5.96e-05,5.96e-05,5.96e-05
100,8835.2,0.66687,0.1991,0.00594,0.99922,1,0.995,0.7181,1.03289,0.26315,0.01249,3.98e-05,3.98e-05,3.98e-05
